Mot clé,Reponse
Présentation générale,"Le château de Bienassis est situé à Erquy, dans les Côtes-d’Armor en Bretagne. Il s’agit d’un château fortifié construit au XVe siècle, transformé au XVIIe siècle en demeure seigneuriale. Il est classé monument historique depuis 1945."

Architecture,"Le château de Bienassis est entouré de douves et possède une imposante porte fortifiée flanquée de tours. À l’intérieur, on trouve une cour, un logis principal, une chapelle et plusieurs dépendances. L’ensemble illustre l’évolution du château fort vers la demeure de prestige."

Jardin à la française,"Les jardins de Bienassis ont été dessinés selon le modèle classique français, avec une perspective axiale, des parterres symétriques et un potager clos. Ils témoignent de l’art du jardin au XVIIe siècle."

La chapelle,"La chapelle du château, dédiée à Saint-André, date du XVIIe siècle. Elle servait aux offices privés de la famille seigneuriale. On peut encore y admirer des boiseries et un autel sculpté."

Les familles propriétaires,"Le château a appartenu à plusieurs familles nobles, notamment les D’Estouteville, les La Motte-Picquet et les de Kerninon. Il reste aujourd’hui une propriété privée, habitée par la même famille depuis plusieurs générations."

Restauration et sauvegarde,"Le château a subi plusieurs restaurations, notamment après des incendies et des dégradations au XIXe siècle. Les travaux ont permis de préserver son authenticité et son style breton."

Événements et visites,"Le château de Bienassis accueille aujourd’hui des visites guidées, des expositions et des spectacles son et lumière retraçant l’histoire du domaine et de la région."

Légendes et anecdotes,On raconte qu’un souterrain relierait le château à la mer pour permettre aux seigneurs de fuir en cas d’attaque. D’autres légendes évoquent la présence de fantômes dans la salle des gardes !


